bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
499,1044,0,0,1,499.0,0.0,595,531,32,3,198.33333333333334,235.2308558747248,499,1,HTTP,1,1044.0,0.0,1140,32,1076,3,380.0,492.1463197058371,1044,
291,1233,0,0,1,291.0,0.0,387,323,32,3,129.0,137.17871555019022,291,1,HTTP,1,1233.0,0.0,1329,32,1265,3,443.0,581.2417741353421,1233,
497,860,0,0,1,497.0,0.0,593,529,32,3,197.66666666666666,234.28804683314277,497,1,HTTP,1,860.0,0.0,956,32,892,3,318.6666666666667,405.4078878802872,860,
439,858,0,0,1,439.0,0.0,535,471,32,3,178.33333333333334,206.9465846272629,439,1,HTTP,1,858.0,0.0,954,32,890,3,318.0,404.4650788387052,858,
290,879,0,0,1,290.0,0.0,386,322,32,3,128.66666666666666,136.7073110293992,290,1,HTTP,1,879.0,0.0,975,32,911,3,325.0,414.36457377531684,879,
407,757,0,0,1,407.0,0.0,503,439,32,3,167.66666666666666,191.8616399619499,407,1,HTTP,1,757.0,0.0,853,32,789,3,284.3333333333333,356.853222238811,757,
389,413,0,0,1,389.0,0.0,597,40,40,6,99.5,143.82367677124654,389,1,HTTP,1,413.0,0.0,549,40,32,4,137.25,177.70955939397294,413,
517,156,82,0,2,299.5,217.5,759,549,32,5,151.8,199.5448821694007,599,1,SSL,1,156.0,0.0,316,32,188,5,63.2,62.39999999999999,156,
517,156,82,0,2,299.5,217.5,759,549,32,5,151.8,199.5448821694007,599,1,SSL,1,156.0,0.0,316,32,188,5,63.2,62.39999999999999,156,
517,156,82,0,2,299.5,217.5,759,549,32,5,151.8,199.5448821694007,599,1,SSL,1,156.0,0.0,316,32,188,5,63.2,62.39999999999999,156,
485,569,0,0,1,485.0,0.0,581,517,32,3,193.66666666666666,228.63119258365037,485,1,HTTP,1,569.0,0.0,665,32,601,3,221.66666666666666,268.229172330097,569,
485,569,0,0,1,485.0,0.0,581,517,32,3,193.66666666666666,228.63119258365037,485,1,HTTP,1,569.0,0.0,665,32,601,3,221.66666666666666,268.229172330097,569,
1392,0,0,0,1,1392.0,0.0,1456,182,182,8,182.0,0.0,1392,0,SSDP,0,,,0,0,0,0,,,0,
1392,0,0,0,1,1392.0,0.0,1456,182,182,8,182.0,0.0,1392,0,SSDP,0,,,0,0,0,0,,,0,
494,533,0,0,1,494.0,0.0,590,526,32,3,196.66666666666666,232.87383327076967,494,1,HTTP,1,533.0,0.0,629,32,565,3,209.66666666666666,251.2586095816199,533,
517,156,82,0,2,299.5,217.5,699,537,20,5,139.8,199.5448821694007,599,1,SSL,1,156.0,0.0,256,20,176,5,51.2,62.39999999999999,156,
322,264,0,0,1,322.0,0.0,530,40,40,6,88.33333333333333,118.86360063348053,322,1,HTTP,1,264.0,0.0,400,40,32,4,100.0,113.20777358467925,264,
296,384,0,0,1,296.0,0.0,392,328,32,3,130.66666666666666,139.53573815414538,296,1,HTTP,1,384.0,0.0,512,32,416,4,128.0,166.27687752661222,384,
394,336,0,0,1,394.0,0.0,490,426,32,3,163.33333333333334,185.73338119166644,394,1,HTTP,1,336.0,0.0,432,32,368,3,144.0,158.39191898578665,336,
388,330,0,0,1,388.0,0.0,484,420,32,3,161.33333333333334,182.90495406692025,388,1,HTTP,1,330.0,0.0,426,32,362,3,142.0,155.56349186104046,330,
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
217,229,0,0,1,217.0,0.0,313,249,32,3,104.33333333333333,102.29478101165388,217,1,HTTP,1,229.0,0.0,357,32,261,4,89.25,99.15990873331822,229,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
249,227,0,0,1,249.0,0.0,345,281,32,3,115.0,117.37972567696688,249,1,HTTP,1,227.0,0.0,323,32,259,3,107.66666666666667,107.00882621956418,227,UbuntuONE
