bulk0,bulk1,bulk2,bulk3,client_bulks,client_bulksize_avg,client_bulksize_dev,client_bytes,client_packet0,client_packet1,client_packets,client_packetsize_avg,client_packetsize_dev,client_payload,is_tcp,proto,server_bulks,server_bulksize_avg,server_bulksize_dev,server_bytes,server_packet0,server_packet1,server_packets,server_packetsize_avg,server_packetsize_dev,server_payload,subproto
365,1401,370,31263,3,247.0,170.42495904845237,1161,385,390,21,55.285714285714285,107.78821512451113,741,1,HTTP,2,16332.0,14931.0,33376,20,1421,32,1043.0,651.9668799103218,32664,
229,227,0,0,1,229.0,0.0,289,249,20,3,96.33333333333333,107.95163526114627,229,1,HTTP,1,227.0,0.0,287,20,247,3,95.66666666666667,107.00882621956418,227,UbuntuONE
43,71,0,0,1,43.0,0.0,51,51,0,1,51.0,0.0,43,0,DNS,1,71.0,0.0,79,79,0,1,79.0,0.0,71,Google
33,94,0,0,1,33.0,0.0,41,41,0,1,41.0,0.0,33,0,DNS,1,94.0,0.0,102,102,0,1,102.0,0.0,94,Google
42,58,0,0,1,42.0,0.0,50,50,0,1,50.0,0.0,42,0,DNS,1,58.0,0.0,66,66,0,1,66.0,0.0,58,
366,1537,365,5268,3,245.66666666666666,169.47041695299572,997,386,20,13,76.6923076923077,131.67698508990424,737,1,HTTP,2,3402.5,1865.5,7177,20,1480,15,478.46666666666664,641.29357465118,6805,
41,57,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,57.0,0.0,65,65,0,1,65.0,0.0,57,
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
30,100,0,0,1,30.0,0.0,38,38,0,1,38.0,0.0,30,0,DNS,1,100.0,0.0,108,108,0,1,108.0,0.0,100,
189,4811,126,242,5,349.8,158.79722919497053,2129,209,20,19,112.05263157894737,169.94348090939266,1749,1,SSL,4,11851.0,17376.176665193067,48224,20,1480,41,1176.1951219512196,546.2035812509165,47404,
37,157,0,0,1,37.0,0.0,45,45,0,1,45.0,0.0,37,0,DNS,1,157.0,0.0,165,165,0,1,165.0,0.0,157,Google
55,0,0,0,1,55.0,0.0,95,75,20,2,47.5,27.5,55,1,SSL,0,,,60,20,20,3,20.0,0.0,0,Google
24,74,0,0,1,24.0,0.0,32,32,0,1,32.0,0.0,24,0,DNS,1,74.0,0.0,82,82,0,1,82.0,0.0,74,
475,45455,11,0,2,243.0,232.0,1026,495,20,27,38.0,89.62638500402038,486,1,HTTP,1,45455.0,0.0,46507,20,1480,46,1011.0217391304348,674.7221808022474,45455,Google
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
517,141,419,4667,2,468.0,49.0,1036,537,71,5,207.2,214.52030206952443,936,1,SSL,2,2404.0,2263.0,4988,20,161,9,554.2222222222222,659.3462718275122,4808,
476,261916,0,0,1,476.0,0.0,1316,496,20,42,31.333333333333332,72.56874135757228,476,1,HTTP,1,261916.0,0.0,265556,20,1480,182,1459.098901098901,165.1697132485753,261916,HTTP_Download
31,35,31,35,16,31.0,0.0,1136,51,20,32,35.5,15.5,496,1,SSL,16,35.0,0.0,880,55,55,16,55.0,0.0,560,Github
62,0,0,0,1,62.0,0.0,70,70,0,1,70.0,0.0,62,0,DNS,0,,,0,0,0,0,,,0,
481,30323,11,0,2,246.0,235.0,932,501,20,22,42.36363636363637,100.0838491441258,492,1,HTTP,1,30323.0,0.0,31155,20,1480,35,890.1428571428571,704.9723862011351,30323,Google
48,0,0,0,1,48.0,0.0,56,56,0,1,56.0,0.0,48,0,NTP,0,,,0,0,0,0,,,0,
517,156,607,176,10,460.3,159.35247095668143,5075,537,71,23,220.65217391304347,245.8424042199909,4603,1,SSL,10,763.9,967.1624941032402,8079,176,20,22,367.22727272727275,533.8826847486067,7639,
41,105,0,0,1,41.0,0.0,49,49,0,1,49.0,0.0,41,0,DNS,1,105.0,0.0,113,113,0,1,113.0,0.0,105,Google
29,45,0,0,1,29.0,0.0,37,37,0,1,37.0,0.0,29,0,DNS,1,45.0,0.0,53,53,0,1,53.0,0.0,45,
207,1179,171,282,2,189.0,18.0,458,227,154,4,114.5,81.3218912716619,378,1,SSL,2,730.5,448.5,1601,20,1199,7,228.71428571428572,407.8923927724475,1461,
